Id,Name,Description,Icon,Bronze,White,Category,Created at,Updated at
40,Plating,How to create beautiful and eyecatching dishes!,https://res.cloudinary.com/juliaf1/image/upload/v1615228755/Cuukin%20-%20Badges/plating_oym6ej.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337341/Cuukin%20-%20Badges/badge_bronze_technique_jn9u2f.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337349/Cuukin%20-%20Badges/badge_white_technique_ghskhz.svg,technique,2021-03-13 17:53:21 UTC,2021-03-13 17:53:21 UTC
39,Alternative cooking techniques,Unconventional ways to cook delicious food,https://res.cloudinary.com/juliaf1/image/upload/v1615228754/Cuukin%20-%20Badges/alternative_qsion1.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337341/Cuukin%20-%20Badges/badge_bronze_technique_jn9u2f.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337349/Cuukin%20-%20Badges/badge_white_technique_ghskhz.svg,technique,2021-03-13 17:53:21 UTC,2021-03-13 17:53:21 UTC
38,Stove-top cooking,"Techniques to cook on the stove top, a direct and constant source of heat.",https://res.cloudinary.com/juliaf1/image/upload/v1615228757/Cuukin%20-%20Badges/stovetop_nbznif.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337341/Cuukin%20-%20Badges/badge_bronze_technique_jn9u2f.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337349/Cuukin%20-%20Badges/badge_white_technique_ghskhz.svg,technique,2021-03-13 17:53:21 UTC,2021-03-13 17:53:21 UTC
37,Oven cooking,Techniques to make the best food on the oven.,https://res.cloudinary.com/juliaf1/image/upload/v1615228755/Cuukin%20-%20Badges/oven_ficuj8.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337341/Cuukin%20-%20Badges/badge_bronze_technique_jn9u2f.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337349/Cuukin%20-%20Badges/badge_white_technique_ghskhz.svg,technique,2021-03-13 17:53:21 UTC,2021-03-13 17:53:21 UTC
36,Prepping techniques,Every technique that is related to the before-cooking part of the creation of a dish,https://res.cloudinary.com/juliaf1/image/upload/v1615228755/Cuukin%20-%20Badges/prepping_b557d8.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337341/Cuukin%20-%20Badges/badge_bronze_technique_jn9u2f.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337349/Cuukin%20-%20Badges/badge_white_technique_ghskhz.svg,technique,2021-03-13 17:53:21 UTC,2021-03-13 17:53:21 UTC
35,Mixing,Mixing techniques (easy and hard ones) that create a range of effects in you dish.,https://res.cloudinary.com/juliaf1/image/upload/v1615228755/Cuukin%20-%20Badges/mixing_ecnfks.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337341/Cuukin%20-%20Badges/badge_bronze_technique_jn9u2f.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337349/Cuukin%20-%20Badges/badge_white_technique_ghskhz.svg,technique,2021-03-13 17:53:21 UTC,2021-03-13 17:53:21 UTC
34,Preserving,Ways to preserve your food properly to create the most diverse effects on flavour and texture!,https://res.cloudinary.com/juliaf1/image/upload/v1615228756/Cuukin%20-%20Badges/preserving_p8pihz.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337341/Cuukin%20-%20Badges/badge_bronze_technique_jn9u2f.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337349/Cuukin%20-%20Badges/badge_white_technique_ghskhz.svg,technique,2021-03-13 17:53:21 UTC,2021-03-13 17:53:21 UTC
33,Seasoning,How to accentuate and increment the flavours in your dish!,https://res.cloudinary.com/juliaf1/image/upload/v1615228756/Cuukin%20-%20Badges/seasoning_fn61le.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337341/Cuukin%20-%20Badges/badge_bronze_technique_jn9u2f.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337349/Cuukin%20-%20Badges/badge_white_technique_ghskhz.svg,technique,2021-03-13 17:53:21 UTC,2021-03-13 17:53:21 UTC
32,Chopping,"All different types of cuts: dicing, mincing, baton, chiffonade, ...",https://res.cloudinary.com/juliaf1/image/upload/v1615228754/Cuukin%20-%20Badges/chopping_hrbihf.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337341/Cuukin%20-%20Badges/badge_bronze_technique_jn9u2f.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337349/Cuukin%20-%20Badges/badge_white_technique_ghskhz.svg,technique,2021-03-13 17:53:21 UTC,2021-03-13 17:53:21 UTC
31,Appliances,"Blenders, processors, mixer and other eletronic home appliances!",https://res.cloudinary.com/juliaf1/image/upload/v1615228656/Cuukin%20-%20Badges/appliances_gcqulo.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337341/Cuukin%20-%20Badges/badge_bronze_tool_fitpeh.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337349/Cuukin%20-%20Badges/badge_white_tool_be8ncc.svg,tool,2021-03-13 17:53:21 UTC,2021-03-13 17:53:21 UTC
30,Storage,"Fridges, freezers and other equipments that help store your food",https://res.cloudinary.com/juliaf1/image/upload/v1615228658/Cuukin%20-%20Badges/storage_zj2ecb.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337341/Cuukin%20-%20Badges/badge_bronze_tool_fitpeh.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337349/Cuukin%20-%20Badges/badge_white_tool_be8ncc.svg,tool,2021-03-13 17:53:21 UTC,2021-03-13 17:53:21 UTC
29,Heating equipment,"Everything that generates heat in order to cook your food. Stoves, oven, barbecue grill, microwave, ...",https://res.cloudinary.com/juliaf1/image/upload/v1615228656/Cuukin%20-%20Badges/heating_pqkgvh.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337341/Cuukin%20-%20Badges/badge_bronze_tool_fitpeh.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337349/Cuukin%20-%20Badges/badge_white_tool_be8ncc.svg,tool,2021-03-13 17:53:21 UTC,2021-03-13 17:53:21 UTC
28,Disposables,"Cling film, parchment paper and other one time use equipments.",https://res.cloudinary.com/juliaf1/image/upload/v1615228656/Cuukin%20-%20Badges/disposables_nwrm0e.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337341/Cuukin%20-%20Badges/badge_bronze_tool_fitpeh.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337349/Cuukin%20-%20Badges/badge_white_tool_be8ncc.svg,tool,2021-03-13 17:53:21 UTC,2021-03-13 17:53:21 UTC
27,Containers,"Bowls, trays and other equipments that hold the food you're cooking!",https://res.cloudinary.com/juliaf1/image/upload/v1615228656/Cuukin%20-%20Badges/containers_j8vlhp.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337341/Cuukin%20-%20Badges/badge_bronze_tool_fitpeh.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337349/Cuukin%20-%20Badges/badge_white_tool_be8ncc.svg,tool,2021-03-13 17:53:21 UTC,2021-03-13 17:53:21 UTC
26,Pots and pans,"Frying pans, sauce pans, stock pots and everything you use to cook on a stove!",https://res.cloudinary.com/juliaf1/image/upload/v1615228656/Cuukin%20-%20Badges/potspans_c8zhkr.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337341/Cuukin%20-%20Badges/badge_bronze_tool_fitpeh.svg,https://res.cloudinary.com/juliaf1/image/upload/v1615337349/Cuukin%20-%20Badges/badge_white_tool_be8ncc.svg,tool,2021-03-13 17:53:21 UTC,2021-03-13 17:53:21 UTC
