answer_title,question_title,skill_chapter_check,photo,correct,skill_chapter_name,answer_description
Use a bucket of salt,If you are cooking for someone with health issues such as high blood pressure you should...?,https://www.notion.so/Salt-2c2fb41bfaf64d4181da4c79a231ea07,,No,Salt,
Not use any salt,If you are cooking for someone with health issues such as high blood pressure you should...?,,,No,,
Use less salt,If you are cooking for someone with health issues such as high blood pressure you should...?,,,Yes,,
Salt doesn't matter,If you are cooking for someone with health issues such as high blood pressure you should...?,,,No,,
Use a spoon,What's the best way to add salt to your dish?,https://www.notion.so/Salt-2c2fb41bfaf64d4181da4c79a231ea07,,No,Salt,
Directly pour from the container,What's the best way to add salt to your dish?,,,No,,
Ask your neighbour to come and add salt,What's the best way to add salt to your dish?,,,No,,
Use your hands,What's the best way to add salt to your dish?,,,Yes,,Trust your tongue
Enhance sweetness,Besides going well with savoury food what else does salt do?,https://www.notion.so/Salt-2c2fb41bfaf64d4181da4c79a231ea07,,No,Salt,
Reduce bitterness,Besides going well with savoury food what else does salt do?,,,No,,
Balance sourness,Besides going well with savoury food what else does salt do?,,,No,,
All of the above,Besides going well with savoury food what else does salt do?,,,Yes,,Salt is extremely useful and works well in balancing out many flavours!
Taste test frequently as you cook,What's the best way to know you've seasoned your meal correctly ?,https://www.notion.so/Seasoning-1-5f5eaefbaeba4fddbaf64b601cc56f99,,Yes,Seasoning 1,"Your tongue is your best friend while cooking, keep tasting and modifying as needed!"
Taste food once it's plate,What's the best way to know you've seasoned your meal correctly ?,,,No,,
Only taste it every 5 minutes while cooking,What's the best way to know you've seasoned your meal correctly ?,,,No,,
Who cares about seasoning ?!?!,What's the best way to know you've seasoned your meal correctly ?,,,No,,
Salt and black pepper are often used together.,Pick the fact that is FALSE about Black Pepper.,https://www.notion.so/Seasoning-1-5f5eaefbaeba4fddbaf64b601cc56f99,,No,Seasoning 1,
Freshly ground black pepper is better than pre-ground stuff.,Pick the fact that is FALSE about Black Pepper.,,,No,,
Pre-seasoning proteins with black pepper allows the flavour to spread throughout.,Pick the fact that is FALSE about Black Pepper.,,,No,,
Never add black pepper as a final seasoning touch.,Pick the fact that is FALSE about Black Pepper.,,,Yes,,Black pepper at the end is really nice if you need that extra spicy kick!
Soft Herbs: Added at the end; Hard Herbs: Added at the beginning,Choose the right option to represent soft and hard herbs.,https://www.notion.so/Seasoning-1-5f5eaefbaeba4fddbaf64b601cc56f99,,Yes,Seasoning 1,Hard herbs have a harder stem and require more time to soften up in the dish
Soft Herbs: Added at the beginning; Hard Herbs: Added at the end,Choose the right option to represent soft and hard herbs.,,,No,,
Basil is a hard herb; Rosemary is a soft herb,Choose the right option to represent soft and hard herbs.,,,No,,
There's nothing such as soft herbs and hard herbs,Choose the right option to represent soft and hard herbs.,,,No,,
