Recipe,Title,VideoUrl,MethodIndex
Microwave Chocolate, PB&J Brownies,,3
Microwave Chocolate, PB&J Brownies,,2
Microwave Chocolate, PB&J Brownies,,1
Cherry and Chocolate Mug Cake,Finish and serve,,4
Cherry and Chocolate Mug Cake,Grease mug and microwave the batter,,3
Cherry and Chocolate Mug Cake,Fold the rest of the ingredients,,2
Cherry and Chocolate Mug Cake,Mix the ingredients,,1
Club Sandwich,Finish and serve,,5
Club Sandwich,Slice and place chicken,,4
Club Sandwich,Toast the bread and add fillings,,3
Club Sandwich,Prep and fry the chicken,,2
Club Sandwich,Fry the bacon,,1
Toast With Scrambled Eggs and Smoked Salmon,Plate and serve,,3
Toast With Scrambled Eggs and Smoked Salmon,Cook the eggs,,2
Toast With Scrambled Eggs and Smoked Salmon,Melt the butter,,1
Stuffed Mushrooms With Blue Cheese,Plate and serve,,5
Stuffed Mushrooms With Blue Cheese,Stuff and roast the mushrooms,,4
Stuffed Mushrooms With Blue Cheese,Sautee mushroom stalks,,3
Stuffed Mushrooms With Blue Cheese,Prep and bake the mushrooms,,2
Stuffed Mushrooms With Blue Cheese,Preheat oven,,1
The Perfect Baked Potato,Fill and finish the potatoes,,5
The Perfect Baked Potato,Prep the filling,,4
The Perfect Baked Potato,Preheat grilling,,3
The Perfect Baked Potato,Bake the potatoes,,2
The Perfect Baked Potato,Preheat oven,,1
Pesto Pasta,Drain and serve,,2
Pesto Pasta,Cook pasta and veggies,,1
Creamy Mushroom Pasta,Incorporate the pasta,,3
Creamy Mushroom Pasta,Reduce the sauce,,2
Creamy Mushroom Pasta,Sautee the ingredients,,1
Chocolate Kissed Strawberries,Dipping,https://res.cloudinary.com/juliaf1/video/upload/v1616692986/Cuukin%20-%20Skill%20Videos/method_choco_3_qnp2iw.mp4,3
Chocolate Kissed Strawberries,Prepare the chocolate,https://res.cloudinary.com/juliaf1/video/upload/v1616692981/Cuukin%20-%20Skill%20Videos/method_choco_2_lmkqwf.mp4,2
Chocolate Kissed Strawberries,Clean and dry the strawberries,https://res.cloudinary.com/juliaf1/video/upload/v1616692959/Cuukin%20-%20Skill%20Videos/method_choco_1_jta2fw.mp4,1
Stuffed Mushrooms,Stuff the mushroom & bake,https://res.cloudinary.com/juliaf1/video/upload/v1617650888/Cuukin%20-%20Skill%20Videos/method_stuffedmushrooms_4_zqc6fr.mp4,4
Stuffed Mushrooms,Preheat the oven & toast the bread,https://res.cloudinary.com/juliaf1/video/upload/v1617650816/Cuukin%20-%20Skill%20Videos/method_stuffedmushrooms_1_jfmyb5.mp4,1
Stuffed Mushrooms,Prep the mushrooms,https://res.cloudinary.com/juliaf1/video/upload/v1617650897/Cuukin%20-%20Skill%20Videos/method_stuffedmushrooms_2_vrfrd8.mp4,2
Stuffed Mushrooms,Prep the filling,https://res.cloudinary.com/juliaf1/video/upload/v1617654043/Cuukin%20-%20Skill%20Videos/method_stuffedmushrooms_3_f1bcbc.mp4,3
Avotoast,Plating,https://res.cloudinary.com/juliaf1/video/upload/v1616693075/Cuukin%20-%20Skill%20Videos/method_avotoast_4_bwetrh.mp4,4
Avotoast,Cut avocado,https://res.cloudinary.com/juliaf1/video/upload/v1616693067/Cuukin%20-%20Skill%20Videos/method_avotoast_3_ynw9hr.mp4,3
Avotoast,Prep the avocado,https://res.cloudinary.com/juliaf1/video/upload/v1616693067/Cuukin%20-%20Skill%20Videos/method_avotoast_2_y6bby3.mp4,2
Avotoast,Prep the bread,https://res.cloudinary.com/juliaf1/video/upload/v1616693046/Cuukin%20-%20Skill%20Videos/method_avotoast_1_i8xc06.mp4,1
Spaghetti Carbonara,Plate,https://res.cloudinary.com/juliaf1/video/upload/v1616693582/Cuukin%20-%20Skill%20Videos/method_carbonara_6_l80stj.mp4,6
Spaghetti Carbonara,Combine everyting,https://res.cloudinary.com/juliaf1/video/upload/v1616693633/Cuukin%20-%20Skill%20Videos/method_carbonara_5_px2jcg.mp4,5
Spaghetti Carbonara,Boil the pasta,https://res.cloudinary.com/juliaf1/video/upload/v1616693566/Cuukin%20-%20Skill%20Videos/method_carbonara_4_xo5stx.mp4,4
Spaghetti Carbonara,Prepare the egg sauce,https://res.cloudinary.com/juliaf1/video/upload/v1616693576/Cuukin%20-%20Skill%20Videos/method_carbonara_2_daqk58.mp4,2
Spaghetti Carbonara,Sautee the Guanciale,https://res.cloudinary.com/juliaf1/video/upload/v1616693585/Cuukin%20-%20Skill%20Videos/method_carbonara_3_fxjayf.mp4,3
Spaghetti Carbonara,Prep the ingredients,https://res.cloudinary.com/juliaf1/video/upload/v1616693568/Cuukin%20-%20Skill%20Videos/method_carbonara_1_rcgpox.mp4,1
