recipe_name,value,nutrient
Avotoast,271,cal
Avotoast,24.6g,fat
Avotoast,13.7g,protein
Avotoast,13.7g,carbs
Chocolate kissed strawberries,471,cal
Chocolate kissed strawberries,33.6g,fat
Chocolate kissed strawberries,5.5g,protein
Chocolate kissed strawberries,38.5g,carbs
Baked Portobello,120,cal
Baked Portobello,7g,fat
Baked Portobello,8g,protein
Baked Portobello,8.6g,carbs
Spaghetti Alla Carbonara,747,cal
Spaghetti Alla Carbonara,42.9g,fat
Spaghetti Alla Carbonara,54g,protein
Spaghetti Alla Carbonara,36.2g,carbs
