lesson_name,badge_name,title,description,video_url
Avotoast,Dry herbs and spices,Salt,"Introduction: Salt is a chef’s best friend.  Not only does it have its own unique taste but it also enhances the flavour of other ingredients.  Salt not only goes well with savoury food, but it also enhances sweetness, reduces perception of bitterness and balances sourness.
Usage 1: If you add too little salt, your food will taste bland. If you add too much, your food will taste like sea water.  Beginners can sometimes  use less salt than they should.
Safety measures and good practices:If you are cooking for someone with health issues such as high blood pressure, you need to be careful with the  amount of salt you use.
Usage 2: Each ingredient has a different timing when it comes to adding salt, butit is usually better to add salt before cooking. As a beginner, start with less salt and add more while cooking. Trust your tongue! You will know if it tastes bland and needs more salt.
Usage 3: The best way to add salt is with your hands, as you can feel how much you are actually adding. You can use your palm as reference, but if you need more precision add a pinch with 2 fingers.
Usage 4: Important to remember that salt dilutes in water, but it does not dilute in Oil.
Buying and Storing: For general cooking, buy sea salt, but avoid iodised salt. Iodine gives a metallic taste to food and nowadays you have other safe options for it. You should store in a dry place, away from humidity.",https://res.cloudinary.com/juliaf1/video/upload/v1615612412/Cuukin%20-%20Skill%20Videos/skillchapter_salt_srgvaq.mp4
Avotoast,Seasoning,Seasoning 1,"Introduction: Seasoning your food is a simple way to take dishes to the next level.  Seasoning works by adding a new layer of taste and aroma to a dish. There are a lot of ingredients which can enhance the flavour of a dish. We have salt, acidic ingredients, spices (pepper, paprika), fresh and dried herbs, and fats.
Tip 1: The taste test as you cook is the best way to know if you’ve seasoned your meal to your liking. Taste frequently, starting with your food unseasoned, then adding different seasoning to the meal, testing it after each one and checking if it needs something else! Trust your tongue!
Usage 1: Let’s start with lime or lemon juice. Somewhat similar to salt, acid enhances shy, hidden flavours. We have a lot to talk about acid, but for now just notice how often we will squeeze some fresh lemon juice at the end of the recipe.
Usage 2: Black pepper is often used together with salt. It can be used ground or whole, but if possible grind when seasoning. Preseasoning your proteins ahead of cooking allows for the salt and pepper to be absorbed into the dish, but the cooking process may tame it down so feel free to add it as a final touch as well.
Usage 3: Herbs are also important to bring aroma and flavour to a dish. As a general rule, prefer using fresh herbs rather than dried herbs, but having dried herbs on your cupboard can be dish-saving.
Tip 2: Herbs can be divided in two groups: hard and soft herbs. Hard herbs such as rosemary should be added at the beginning of the cooking as they give flavour more slowly, while soft herbs such as basil should be added at the end of the cooking to bring freshness.",https://res.cloudinary.com/juliaf1/video/upload/v1615612375/Cuukin%20-%20Skill%20Videos/skillchapter_seasoning_plhd8c.mp4
Avotoast,"Bread, flour and pasta",Bread,"Introduction: Bread is mainly a combination of flour, water and other optional ingredients that can be traced back to ancient times. Usually high in carbs and fibers, can be used in a million different ways. 
Buying: You can bake your own bread at home, or buy it in the supermarket (which is a lot easier). In your local grocery store you’ll find many different types of bread that you may like: wholewheat, seeded, with grains, baguette, pitta, sourdough, … . In doubt, go for a simple trusty white loaf. 
Usage 1:  One of the most simple things you can do with bread is a toast! Using a toaster, an oven or even a frying pan! If you want to take it to the next level, add some kind of fat (butter or olive oil) to the outside of the bread to pump up the flavour before toasting it. 
Storage: Bread loses humidity to its surroundings constantly, so make sure to cover it with some cling film, plastic bags or cloth when storing it. You can put them inside for longer storage or outside the fridge for better texture, both works!
Composition tip: Specific types of bread may have specific uses, but in general it’s up to you. Eat it by itself, dip it in soup, make a sandwich or go for the classic toast with butter and jam!",https://res.cloudinary.com/juliaf1/video/upload/v1615645562/Cuukin%20-%20Skill%20Videos/skillchapter_bread_twrcxr.mp4
Chocolate kissed strawberries,Alternative cooking techniques,Microwaving,"Introduction: Microwave works by heating up water using radiation - by far the fastest way to transfer heat. It is great for leftovers or frozen food, but it can also be really helpful when cooking.
Safety measures and good practices: Never use metal in microwaves as your microwave could potentially catch fire. Glass & ceramic items are the ideal containers. Plastic containers are ok - but check they are microwave safe.
Usage: Microwave has different settings depending on what you want to do. The standard start button is great for heating up leftovers.Whenever possible, defrost your ingredient naturally by letting it stay 2 to 3 hours at room temperature. However, the microwave is great for urgent defrosting with the defrosting button.The power button allows you to reduce - well - the power to cook more delicate ingredients. For instance, if you are melting chocolate, you need to reduce the power to 50 so you won’t burn it.
Tip 1: If unsure, take a “low & interval” approach: lower power & many 30 second intervals, stirring your food in between.
Tip 2: One use for microwaves is bringing stale bread back to life! Wrap stale bread in a damp (but not soaking) kitchen towel, put it on a plate, and place it in a microwave for 10 seconds. Keep an eye on it and repeat as needed. 
Tip 3: Peeling garlic is super easy with a microwave. Using high power, microwave garlic cloves for 20 seconds. Let cool. It should peel super easy. However, this does cook the garlic slightly, so only use in recipes that call for a milder garlic flavor.",https://res.cloudinary.com/juliaf1/video/upload/v1615612383/Cuukin%20-%20Skill%20Videos/skillchapter_microwaving_nqfwpf.mp4
Baked Portobello,Fats and oils,Olive oil,"Introduction 1: Olive Oil is a highly versatile ingredient, being the prominent fat of meditaranean cuisine. It serves as a cooking medium, or seasoning depending on the recipe.
Introduction 2: Fat, along with Protein and Carbohydrates is one of the main components of food. Despite all the negative press, fat is actually an essential part of cooking, because it brings flavours together.
Usage 1: When cooking, first heat up your pan or pot, then add the olive oil and wait for it to heat up before adding the main ingredient. You want to hear the “wizz” when you put it.
Usage 2: Olive Oil can also be used as a seasoning at room temperature, especially in salads.
Safety measures and good practices: Keep in mind that olive oil can burn and when it does burn, it should not be eaten. Its burning point is between 190–207°C and easily identifiable. If the oil starts smoking, just throw it away and start over.
Buying and Storing: Olive Oil is like wine: if you do not know anything about it, it all  all tastes the same; once you start getting a feel for it, you’ll notice there is a huge difference between certain types of oil. But for now, keep it simple: buy extra virgin olive oil. Store Olive Oil in a cool, dry cupboard away from light and heat. Olive Oil expires after 18 months, so always check the expiration date of your old Olive Oil bottles.",https://res.cloudinary.com/juliaf1/video/upload/v1615613149/Cuukin%20-%20Skill%20Videos/skillchapter_olive_oil_yze3th.mp4
Baked Portobello,Heating equipment,Oven,,
Baked Portobello,Containers,Baking Tray,"Introduction: A baking tray (also known as a sheet pan or a baking sheet) is the flat metal sheet perfect for baking or roasting food in your oven.
Tips on Buying: We recommend using a rimmed baking tray, especially for roasting, so the juices don’t overflow off the tray, as well a firm and non stick coated tray. 
Usage 1: Roasted root vegetables (potatoes, carrots, parsnips) are one of the tastiest and simplest dishes to make using a baking tray. Remember when roasted vegetables to generously add oil and to space out the vegetables on the tray rather than stack them on top of each other to ensure they come out crispy. 
Tip 1: To help make clean up easier, and avoid sticking to the tray, parchment paper can be placed under your food  to allow it to easily be removed when your cooking is complete.However, if clean-up isn’t on your priority list, roasting potatoes and veg directly on the tray can give them an extra crispy finish
Usage 2: The next use for a baking tray is, you guessed it, baking! Baking trays are perfect for making cookies or other pastries as they allow for the perfect distribution of sustained heat. 
Watch out: Always use potholders and oven mitts that are in good condition when removing your hot baking tray as unlike some pots and pans, the entire surface would be extremely hot. If you don’t have them, you can improvise with a folded kitchen towel!",
Baked Portobello,Oven cooking,Baking 1,,
Spaghetti Alla Carbonara,Eggs,Egg,"Introduction: Eggs are one of the most versatile ingredients. They are perfect in both sweet and savoury dishes, baked goods and even drinks!
Safety measures and good practices: When buying, look out for cracks or dirty spots in the shell. Always crack in a separate bowl to check if they are bad (they will smell really horrendous). Be careful when eating them raw, make sure they're really fresh or pasteurised. Bad raw eggs can bring serious health issues
Usage 1: to crack an egg, just give it one good wack on a FLAT SURFACE, turn the cracked side up and open it with your thumb.
Usage 2: To take shells out, dip your finger in water and grab it.
Usage 3: To separate yolk (fat and protein) from whites (protein and water), wet your hand and gently grab the yolk from the bottom.
Buying and Storing: Lasts longer in the fridge (up to five weeks) but can be stored in room temperature. Always check the best by date on the package and keep in mind that they taste better fresh
Composition tip: Most of the time you should do your eggs slowly and in low heat. Try to take them from the heat right before they finish cooking, so they continue the cooking process with residual heat!",https://res.cloudinary.com/juliaf1/video/upload/v1615229396/Cuukin%20-%20Skill%20Videos/skillchapter_egg_svgbqw.mp4
Spaghetti Alla Carbonara,Heating equipment,Stove,,
