name,badge_name
Knife,Cutting tools
Peeler,Cutting tools
Grader,Cutting tools
Spatula,Utensils
Whisk,Utensils
Cutting board,Utensils
Spoon,Utensils
Fork,Utensils
Measuring cups,Utensils
Measuring spoons,Utensils
Slotted spoon,Utensils
Frying pan,Pots and pans
Sautese,Pots and pans
Pot,Pots and pans
Saucepan,Pots and pans
Preassure pot,Pots and pans
Wok,Pots and pans
Baking tray,Containers
Bowl,Containers
Colander,Containers
Ovenproof container,Containers
Cling film,Disposables
Paper towls,Disposables
Parchment paper,Disposables
Aluminum foil,Disposables
Microwave,Heating equipment
Stove,Heating equipment
Oven,Heating equipment
Airfryer,Heating equipment
Fridge,Storage
Freezer,Storage
Food processor,Appliances
Suvid,Appliances
Blender,Appliances
Thermometer,Appliances
Scale,Appliances
Rolling pin,Utensils
Tong,Utensils
